Region_id,Region,Date,total_homes_sold,total_homes_sold_yoy,Cases
11,Dallas,1/7/20,857,0.17558299,0
11,Dallas,1/8/20,1028,0.191193511,0
11,Dallas,1/9/20,1060,0.214203895,0
11,Dallas,1/10/20,1194,0.297826087,0
11,Dallas,1/11/20,1194,0.218367347,0
11,Dallas,1/12/20,1194,0.218367347,0
11,Dallas,1/13/20,1209,0.231160896,0
11,Dallas,1/14/20,1204,0.159922929,0
11,Dallas,1/15/20,1325,0.17360496,0
11,Dallas,1/16/20,1369,0.181190682,0
11,Dallas,1/17/20,1449,0.26993865,0
11,Dallas,1/18/20,1452,0.181448332,0
11,Dallas,1/19/20,1451,0.179674797,0
11,Dallas,1/20/20,1248,0.015459723,0
11,Dallas,1/21/20,1367,0.319498069,0
11,Dallas,1/22/20,1307,0.275121951,0
11,Dallas,1/23/20,1274,0.209876543,0
11,Dallas,1/24/20,1233,0.200584226,0
11,Dallas,1/25/20,1238,0.218503937,0
11,Dallas,1/26/20,1241,0.223865878,0
11,Dallas,1/27/20,1467,0.446745562,0
11,Dallas,1/28/20,1419,0.113814757,0
11,Dallas,1/29/20,1379,0.1014377,0
11,Dallas,1/30/20,1595,0.178861789,0
11,Dallas,1/31/20,1834,0.032657658,0
11,Dallas,2/1/20,1839,0.099222953,0
11,Dallas,2/2/20,1835,0.094868735,0
11,Dallas,2/3/20,1854,0.106865672,0
11,Dallas,2/4/20,1830,0.13594041,0
11,Dallas,2/5/20,1787,0.128869236,0
11,Dallas,2/6/20,1608,0.109730849,0
11,Dallas,2/7/20,1418,0.336475024,0
11,Dallas,2/8/20,1408,0.220103986,0
11,Dallas,2/9/20,1409,0.216753022,0
11,Dallas,2/10/20,1431,0.23255814,0
11,Dallas,2/11/20,1436,0.198664441,0
11,Dallas,2/12/20,1513,0.231082181,0
11,Dallas,2/13/20,1588,0.235797665,0
11,Dallas,2/14/20,1770,0.274298056,0
11,Dallas,2/15/20,1767,0.088054187,0
11,Dallas,2/16/20,1769,0.08995687,0
11,Dallas,2/17/20,1497,-0.075355158,0
11,Dallas,2/18/20,1625,0.160714286,0
11,Dallas,2/19/20,1671,0.103698811,0
11,Dallas,2/20/20,1719,0.075046904,0
11,Dallas,2/21/20,1600,0.021059349,0
11,Dallas,2/22/20,1607,0.073480294,0
11,Dallas,2/23/20,1612,0.077540107,0
11,Dallas,2/24/20,1889,0.261857047,0
11,Dallas,2/25/20,1803,-0.032206119,0
11,Dallas,2/26/20,1835,-0.037250787,0
11,Dallas,2/27/20,1992,0.013224822,0
11,Dallas,2/28/20,2507,-0.047854159,0
11,Dallas,2/29/20,2514,-0.043014846,0
11,Dallas,3/1/20,2508,-0.044207317,0
11,Dallas,3/2/20,2618,-0.003425961,0
11,Dallas,3/3/20,2642,0.032838155,0
11,Dallas,3/4/20,2580,0.05478332,0
11,Dallas,3/5/20,2410,0.034334764,0
11,Dallas,3/6/20,1941,0.147841514,0
11,Dallas,3/7/20,1931,0.141927853,0
11,Dallas,3/8/20,1933,0.116050808,0
11,Dallas,3/9/20,1820,0.050201962,0
11,Dallas,3/10/20,1832,0.057736721,0
11,Dallas,3/11/20,1823,0.059883721,2
11,Dallas,3/12/20,1853,0.075449797,3
11,Dallas,3/13/20,1847,0.082015231,3
11,Dallas,3/14/20,1843,0.069645966,3
11,Dallas,3/15/20,1848,-0.001081081,8
11,Dallas,3/16/20,1933,0.046561992,8
11,Dallas,3/17/20,1933,0.048264642,9
11,Dallas,3/18/20,1986,0.037617555,15
11,Dallas,3/19/20,1948,-0.00204918,20
11,Dallas,3/20/20,1925,-0.045138889,22
11,Dallas,3/21/20,1929,-0.049285362,30
11,Dallas,3/22/20,1925,-0.012820513,30
11,Dallas,3/23/20,1851,-0.051741803,33
11,Dallas,3/24/20,1819,-0.068135246,131
11,Dallas,3/25/20,1808,-0.068041237,169
11,Dallas,3/26/20,1869,-0.047400612,303
11,Dallas,3/27/20,1955,-0.026394422,367
11,Dallas,3/28/20,1955,-0.121348315,367
11,Dallas,3/29/20,1955,-0.262820513,439
11,Dallas,3/30/20,2037,-0.234785875,488
